VeiculoID,Modelo,Placa,Chassi,Diretoria,Renavam,ODÔMETRO,ULTIMA REVISÃO (KM),Nome da Imagem
1,FIAT/TORO,SDH0A69,9882261ZPSKG00674,DGM,01416720267,3700,3000,toro.png
2,MITSUBISHI/PAJERO,OVQ0883,93XFRH77WECD87153,SERAFI,00597799156,69921,50000,pajero.png
3,CHEV/ONIX PLUS,RCN9C71,9BGEY69H0NG175007,DGM,01289796448,50557,50217,onix_branco.png
4,CHEV/ONIX PLUS,SBW0F31,9BGEY69H0NG195069,DAF,01292143662,54503,32000,onix_prata.png
5,TOYOTA/COROLLA,SCY1A98,9BRBY3BE6P4052580,PR,01373191870,42913,40000,corolla1.png
6,MITSUBISHI/TRITON ,SDC2G28,93XSYKL1TRCP74309,DGM,01374274175,38661,30000,l200_prata.png
7,TOYOTA/COROLLA,TUZ3B20,9BRBY3BE2R4065782,DIG,01426394532,6580,5000,corolla2.png
8,MITSUBISHI/TRITON ,REI2A69,93XSYKL1TLCL28164,DHT/DIHIBA,01245423220,60200,28600,l200_branca.png
